x,Landau80mu
-0.99727,1.19149
-0.95946,1.16489
-0.92542,1.1383
-0.88383,1.1117
-0.84603,1.08843
-0.80445,1.07181
-0.76666,1.05519
-0.72131,1.04189
-0.67974,1.02859
-0.6344,1.01862
-0.58906,1.01197
-0.55129,1.00864
-0.50218,1.00532
-0.46063,1.00199
-0.40397,1.00199
-0.32087,1.00199
-0.27177,1.00532
-0.22646,1.01197
-0.18491,1.01529
-0.13959,1.01862
-0.0905,1.02194
-0.04518,1.02527
-0.00741,1.02859
0.09078,1.03856
0.17765,1.04521
0.26451,1.05186
0.3136,1.05851
0.3627,1.06516
0.40425,1.06516
0.50244,1.07181
0.58553,1.07513
0.67996,1.07846
0.76304,1.08511
0.85747,1.08511
0.94812,1.08843
1.03877,1.08843
1.13319,1.09176
1.22006,1.09508
1.31071,1.0984
1.40892,1.09508
1.49202,1.09508
1.57889,1.0984
1.71487,1.09508
1.85084,1.0984
2.47407,1.10173
2.6516,1.0984
2.93866,1.0984
